departments,indicators,unit,baseline_year,baseline_value,2018/2021,actual_achievement,comments
County Public Service Board,No. of County HR Employees recruited & Regularized,No.,2017,70%,70%,100,
County Public Service Board,No of interns recruited and deployed,No.,2017,60,60,70,
Ministry Agriculture and  Livestock,No. of irrigation schemes expanded and rehabilitated,No.,2017,15,5,3,
Ministry Agriculture and  Livestock,No.  of irrigation schemes utilizing drip technology,No.,2017,4,3,0,
Ministry Agriculture and  Livestock,No. of Ha of reclaimed land under crop production,No.,2017,20,27,167,
Ministry Agriculture and  Livestock,No.  of Ha of reclaimed land under pasture production,No.,2017,10,10,,
Ministry Agriculture and  Livestock,No.  of beneficiaries under SFSP programme,No.,2017,"91,000","100,000",299214,
Ministry Agriculture and  Livestock,No. of community assets created and functional and in use by the community either for crop or pasture production,No.,2017,186,200,71,
Ministry Agriculture and  Livestock,No. of supplementary feeds purchased,No.,2017,3000,2620,9990,
Ministry Agriculture and  Livestock,No of Livestock restocked/destocked,No.,2017,4000,4000,2620,
Ministry Agriculture and  Livestock,% of animals vaccinated and treated,%,2017,65%,75%,78.75,
Ministry Agriculture and  Livestock,Quantity of fish sold,MT,2017,7468,8290,10200,
"Ministry of Education, Sports And Social Protection",Number of ECD centers supplied with food,No.,2017,795,875,900,
"Ministry of Education, Sports And Social Protection",Number of Classrooms constructed,No.,2017,795,875,26,
"Ministry of Education, Sports And Social Protection",Number of students accessing funds,No.,2017,5000,"30,000","35,580",
"Ministry of Education, Sports And Social Protection",Number of Classrooms constructed,No.,2017,6,3,,
"Ministry of Education, Sports And Social Protection",Number of twin workshops constructed,No.,2017,6,2,1,
"Ministry of Education, Sports And Social Protection",Number of VTC centers supplied with instructional materials,No.,2017,6,8,2,
"Ministry of Education, Sports And Social Protection",Number of PLWDs county and national sport events participated in annually,No.,2017,2,2,2,
"Ministry of Education, Sports And Social Protection",Number of PLWDs supported and trained on entrepreneurial skills,No.,2017,0,50,0,
