department,Name of Project,GPS reading,Project Cost,Ward,Site,contracted company,project start date,expected date of complition,payment done to date,outstanding amount,level of complition,is project in use? yes/no,remarks/Observations,
FINANCE AND PLANNING,Construction of Kakuma Slaughter House,0,,,,,,,,,0%,NO,The team could not find the project in kakuma,
FINANCE AND PLANNING,Installation and Fabrication of Cess Barriers 2013/2014,0,,,Kakuma,,,,,,,,,
Water Irrigation and Agriculture,Nanam Waterpan,0,,Nanam Ward,Nanam Village,,,,,,0%,No,Nothing has been done up to now,
Water Irrigation and Agriculture,Lookulan Waterpan,0,,,,,,,,,,,NOT DONE,
Water Irrigation and Agriculture,Atiir Borehole,0,,,,,,,,,,,NOT DONE,
Water Irrigation and Agriculture,Namon (Kanakuring) Waterpan,0,,Songot Ward,Kanakuring,,,,,,,No,Incomplete,
Water Irrigation and Agriculture,Letea Waterpan,0,,Letea Ward,Lomosing Ekori,,,,,,,No,Incomplete,
Water Irrigation and Agriculture,Lomukur Waterpan,0,,Letea Ward,Lomukor,,,,,,,No,Yet to be done,
Water Irrigation and Agriculture,Loita Sonyok Borehole,0,,Letea Ward,Loita Sonyok Village,,,,,,50%,No,Drilled and capped equipment not installed,
Water Irrigation and Agriculture,Nakitongo Borehole,0,,Letea Ward,Nakitongo,,,,,,,,Was drilled but water wasn’t found,
Water Irrigation and Agriculture,"Lokichogio W/S Kakuma W/S Oropoi, Lomidat, Lopiding,Kalobeyei",0,,"Songot, Lokichosio And Kalobeyei",,Mwia,,,,,,No,Ongoing,
Water Irrigation and Agriculture,Komunyaate Borehole,0,,Lopur Ward,Kamunyaate,Ministry Satff And Lokichogio Water Providers,,,,,,No,Drilling complete yet to equip the borehole,
Water Irrigation and Agriculture,Kakuma Water Supply,0,"13,524,010",Kakuma Ward,,To Be Sourced After Evaluation,,,,,,No,Tendering stage,
Water Irrigation and Agriculture,Lokichogio Water Pan,0,"9,238,240",Lokichogio Ward,Lokichogio,Yedida Investment Contractors,,,,,,No,Stalled,
Water Irrigation and Agriculture,Nataparelim Waterpan,0,"9,125,600",Kalobeyei Ward,Nataparelim,Morutena Investment Ltd,,,,,,No,"Stalled at 59% complete, dozer not on site",
